route_index_global;name;zona_meteo;zone;difficulty;terreny;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
50;Pic de l'Estanyó;zona_nord;Sorteny;CHALLENGING;COMPLEX;8.8km;1132m;SW+W;Pàrquing de Sorteny, a 1780m;Pic de l'Estanyó, a 2915m;1780;2915
51;Pic de l’Estanyó;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;11.9km;1084m;S+SW;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic de l’Estanyó, a 2915 m;1825;2915
52;Pic de l'Hortell;zona_nord;Arcalís;CHALLENGING;COMPLEX;2.2km;615m;N;Aparcament d'Arcalís, a 1.940 m;Pic de l'Hortell, a 2.562 m;1940;2562
53;Pic de la Cabaneta;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;11.4km;1052m;S+SW;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic de la Cabaneta, a 2865 m;1825;2865
54;Pic de la Cabaneta i Roc Melé;zona_nord;Vall d'Incles i Siscaró;COMPLEX;EXIGENT;10.9km;1059m;N+W;Pàrquing de la vall d'Incles, a 1.750m;Pic de la Cabaneta, a 2.817m;1750;2817
55;Pic de la Coma de Seignac;zona_nord;Ransol;COMPLEX;EXIGENT;4.9km;966m;S+SE;Final carretera, a 1.953m;Pic de la Coma de Seignac, a 2.856m;1953;2856
56;Pic de la Coma de Varilles;zona_nord;Vall d'Incles i Siscaró;COMPLEX;EXIGENT;8.7km;1027m;S+SE;Pàrquing de la vall d'Incles, a 1.750m;Pic de la Coma de Varilles, a 2.760m;1750;2760
57;Pic de la Coma de Varilles;zona_nord;Ransol;CHALLENGING;COMPLEX;3.6km;869m;W+SW;Final carretera, a 1.953m;Pic de la Coma de Varilles, a 2.760m;1953;2760
58;Pic de la Font Blanca;zona_nord;El Castellar;COMPLEX;EXIGENT;10.4km;1051m;S+W;Pont del Castellar, a 1.854m;Pic de la Font Blanca, a 2.903m;1854;2903
59;Pic de la Maiana;zona_centre;Valls de Madriu, Perafita i Claror;CHALLENGING;COMPLEX;6.1km;1288m;NW+W+SW;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Pic de la Maiana, 2.522 m;1232;2522
60;Pic de la Menera;zona_nord;Grau Roig;CHALLENGING;COMPLEX;3.0km;661m;NW+SW;Aparcament de Grau Roig, a 2.100 m;Pic de la Menera, a 2.775 m;2100;2775
61;Pic de la Pala Alta;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;9.2km;887m;S+SE+SW;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Pic de la Pala Alta, a 2685 m;1825;2685
62;Pic de la Pala de Jan;zona_nord;Ransol;COMPLEX;EXIGENT;3.5km;883m;S;Final carretera, a 1.953m;Pic de la Pala de Jan, a 2.776m;1953;2776
